cycle,pedigree_IDs
44550,"146233898,146231705,146235090,146231804,146233649,146233302,146231133,146230609,146231211,146230036,146230280,146231027,146230320,146231677,146230753,146231650,146230040,146230056,146231227,146231185,146229874,146234390,146231045,146232905,146233424,146231949,146231353,146231372,146234691,146231424,146232036,146230681,146229901,146231091,146233130,146230659,146232039,146234625,146230613,146233865,146230221,146230291,146232759,146235392,146231970,146231102,146231576,146232349,146231268,146229938,146230620,146231648,146236067,146234234,146231124,146231628,146235696,146229902,146231511,146230420,146230720,146235313,146230925,146231348,146231644,146230913,146233905,146235282,146233665,146233689,146236190,146231434,146231342,146232973,146230385,146231216,146236015,146231973,146231171,146230527,146236111,146235743,146231503,146231355,146231256,146230466,146232150,146235324,146232655,146231999,146232322,146236156,146231007,146232258,146234187,146233933,146231569,146230297,146230819,146230674,146229962,146232468,146230168,146231428,146230069,146230481,146230414,146233015,146232438,146230841,146231217,146235420,146233874,146229997,146230166,146232294,146229981,146230009,146230899,146234827,146234062,146230198,146233273,146231378,146230027,146234038,146231115,146232169,146232323,146232312,146232197,146233896,146230737,146230447,146233867,146230326,146229942,146231293,146235607,146231326,146231096,146230597,146230897,146232220,146232217,146232350,146230253,146235069,146235338,146231448,146230229,146230832,146229915,146230926,146235470,146233583,146230814,146231029,146235235,146229877,146233041,146231019,146230506,146231704,146232997,146230208,146231283,146233385,146235644,146231964,146233425,146231474,146231979,146230119,146230621,146230424,146229857,146232224,146231338,146235563,146230000,146231894,146231145,146230540,146231517,146231876,146231186,146235989"
44555,"146248070,146248590,146246977,146246542,146252592,146251740,146251596,146251658,146251383,146248256,146250209,146251647,146251970,146250581,146251266,146252484,146247306,146250917,146251824,146251936,146247253,146248150,146248603,146250455,146248125,146251448,146250960,146251515,146252210,146251375,146246879,146249111,146248984,146251077,146251883,146247957,146251104,146252638,146252635,146248464,146247010,146248557,146250626,146251762,146252262,146251763,146250532,146251468,146251942,146251959,146251459,146252093,146250504,146250722,146247066,146250929,146251772,146251574,146248651,146252059,146246789,146251839,146250657,146252691,146250171,146252687,146250689,146247194,146251726,146251473,146250695,146252268,146247204,146248377,146251578,146251181,146248104,146246520,146250965,146251111,146250495,146251601,146252191,146252755,146251615,146251094,146252068,146247936,146249823,146252781,146250471,146252116,146246566,146250472,146252589,146252053,146250306,146252199,146246804,146252583,146250270,146246576,146252258,146251313,146252168,146248566,146250127,146251835,146248147,146250862,146251116,146251655,146246858,146252306,146251056,146251454,146250487,146249443,146248096,146251590,146247615,146252456,146249466,146249915,146251880,146251146,146249264,146252731,146250730,146249713,146250918,146249412,146251247,146252619,146250444,146250840,146249865,146252170,146249195,146250967,146252545,146249014,146247468,146251026,146252234,146252695,146252807,146251872,146251577,146250971,146247181,146251689,146247179,146251218,146252481,146252271,146251648,146252019,146247658,146247260,146247690,146252293,146249630,146252579,146250820,146250342,146252081,146247720,146252636,146248497,146251710,146247231,146249099,146250304,146250544,146251021,146250915,146251795,146250550,146250943,146251900,146251389,146250749,146247254,146251599,146251279,146250372,146250920,146247667,146252746,146251652,146251251,146251131,146251688,146250771,146251503,146249284,146251760"
44560,"146265601,146269573,146269509,146266018,146269554,146268779,146267354,146265463,146265075,146267110,146265394,146269194,146264038,146266068,146265198,146270113,146267252,146270275,146263700,146268547,146266773,146270208,146267806,146268483,146267953,146268027,146265594,146270544,146266908,146264287,146263391,146264976,146268101,146263346,146269102,146268063,146266507,146269318,146267994,146268472,146263635,146265298,146264622,146267410,146268156,146264485,146266414,146266325,146269639,146269290,146269580,146270432,146270695,146265349,146268964,146269684,146266959,146268401,146268816,146267060,146268370,146263553,146267390,146270333,146267078,146269922,146263868,146265516,146268058,146270081,146265196,146263389,146267302,146269858,146263313,146268710,146263749,146264850,146268053,146269801,146265493,146269921,146263674,146263657,146270442,146267259,146267804,146268754,146263501,146269729,146270019,146266078,146269386,146269828,146265590,146267630,146263983,146270231,146266626,146270052,146265415,146267727,146269978,146268575,146263224,146268437,146268760,146264660,146264291,146269166,146268880,146270353,146263259,146269246,146264471,146265224,146269928,146265150,146267451,146270122,146266166,146268899,146266452,146268936,146267642,146267999,146263891"
44565,"146280974,146281395,146284346,146281314,146280802,146284703,146282286,146282602,146282050,146285079,146284009,146281673,146283423,146281446,146285835,146281852,146283571,146281286,146281243,146281685,146281037,146282222,146281002,146282377,146281556,146281064,146281322,146281577,146283229,146281728,146282804,146284635,146282317,146281546,146282640,146286706,146285597,146282867,146283096,146281465,146281679,146282645,146285534,146284297,146282717,146281885,146284761,146281579,146285341,146284405,146283829,146281130,146284983,146281816,146285607,146282115,146282351,146283600,146281753,146282486,146281244,146286499,146281011,146281231,146281972,146281215,146282765,146282885,146281745,146282203,146280843,146286650,146281463,146281328,146282185,146281882,146282847,146285629,146281651,146286740,146284939,146281807,146280895,146282705,146281361,146282386,146281610,146283903,146285665,146282519,146284597,146281976,146285792,146281128,146281539,146282277,146284164,146282810,146281632,146286621,146280721,146283038,146282399,146286581,146280741,146282703,146280856,146282546,146283202,146281646,146281925,146282650,146280778,146286547,146282839,146281735,146280771,146283417,146282684,146280746,146286451,146282012,146281748,146281567,146282777,146281715,146282898,146280945,146286287,146282838,146280739,146286757,146282448,146282312,146282232,146282791,146280844,146281712,146282529,146281483,146281306,146281914,146280805,146282431,146281392,146285900,146283431,146281973,146280914,146283752,146281457,146281913,146280957,146284512,146280907,146282572,146282617,146281906,146282360,146282328,146282661,146282938,146280785,146281955,146286700,146281238,146284347,146281423,146282004,146286272,146281001,146280812,146280886,146284144,146281808,146281550,146280915,146282133,146284093,146282349,146280821,146282077,146286090"
44570,"146300405,146302387,146302719,146297165,146300809,146302352,146301934,146301301,146302541,146300917,146297114,146300565,146302201,146301781,146299357,146298326,146300398,146301041,146301042,146301762,146300818,146300039,146300982,146300757,146298244,146298196,146302372,146301734,146301483,146301085,146300566,146302534,146297080,146301893,146297898,146302403,146302400,146301168,146301345,146301387,146299009,146297338,146300630,146301299,146300505,146302283,146300839,146299646,146301294,146302420,146298231,146299708,146298794,146302371,146296907,146301491,146298818,146298475,146300869,146301714,146301883,146301419,146301687,146301996,146300514,146302005,146301792,146300760,146302360,146299573,146301966,146297302,146301760,146300428,146301525,146299552,146299802,146302535,146302125,146298500,146300545,146299966,146302585,146301842,146302241,146301932,146301399,146299504,146299700,146302536,146300191,146302557,146302747,146300575,146301897,146301536,146296916,146302639,146301476,146301427,146298030,146297546,146301688,146301183,146302061,146302705,146299665,146302637,146302324,146299249,146300576,146301325,146299056,146300784,146301726,146297999,146300979,146301907,146299517,146300740,146298412,146298919,146300526,146300503,146301003,146301999,146301309,146299411,146301235,146299817,146301522,146297708,146301601,146302506,146301288,146301852,146299503,146300693,146302643,146302623,146300020,146301901,146300553,146302317,146302526,146300498,146298350,146300639,146299744,146300185,146301216,146300347,146302595,146299464,146297702,146300987,146302315,146302002,146298529,146300966,146297412,146301983,146302590,146300449,146300942,146300875,146300984,146301599,146301078,146301203,146299625,146298913,146298885,146300454,146302735,146297449,146301080,146301417,146302601,146300563,146302019,146297887,146301750,146301108,146296697,146302540,146301374"
44575,"146314918,146315930,146315166,146318289,146317152,146318925,146316082,146316463,146316462,146313661,146317219,146316408,146315045,146318679,146313536,146317139,146315359,146313731,146318531,146314202,146319184,146316180,146313493,146315468,146316324,146313312,146317538,146318099,146316695,146317366,146313482,146315089,146318115,146318048,146313071,146313222,146319190,146315074,146315677,146314822,146317997,146319124,146317332,146314869,146314066,146318855,146319408,146318191,146313082,146313767,146313099,146313386,146316122,146312453,146315796,146313090,146316133,146319304,146319353,146316103,146316550,146313504,146317260,146314335,146319234,146318287,146316438,146312907,146313289,146319312,146314063,146318736,146318604,146314668,146315484,146315608,146313671,146316114,146313123,146314940,146315892,146318774,146315665,146315986,146318130,146316932,146314143,146312520,146312542,146313429,146314250,146313326,146318767,146315434,146318214,146315633,146317886,146319241,146314546,146319138,146318484,146317976,146316610,146317585,146313841,146313525,146318629,146317511,146313078,146315863,146316426,146318028,146313597,146316961,146314265,146314171,146317696,146314450,146316280"
44580,"146334696,146332817,146333097,146329821,146330216,146333442,146329761,146331276,146331906,146329539,146329450,146330167,146334241,146330676,146330261,146329809,146329183,146329782,146329445,146330836,146330996,146329100,146329376,146334055,146331317,146333643,146330747,146330859,146329368,146331083,146329125,146329552,146331330,146329937,146332638,146329363,146330377,146329991,146332005,146330559,146330321,146334542,146329488,146330646,146329928,146329983,146332825,146330799,146331648,146330883,146332217,146329820,146329156,146331082,146331726,146330399,146332932,146332355,146329568,146333323,146330087,146331306,146330329,146330462,146331687,146331686,146330315,146330317,146330959,146329895,146329162,146329734,146333808,146329208,146330502,146330225,146331369,146331188,146330681,146329454,146330286,146332601,146331032,146330965,146329965,146334356,146330545,146330324,146330955,146334432,146332542,146330716,146329596,146330731,146331071,146330879,146334103,146330297,146332818,146330526,146332446,146329132,146330703,146329226,146329293,146330564,146331168,146330118,146331713,146330586,146330127,146330019,146333443,146333884,146330021,146330991,146331800,146329256,146330203,146329579,146329284,146332111,146329764,146331246,146330395,146333591,146329739,146334399,146332188,146333940,146332696,146332728,146329328,146333686,146331124,146331955,146334229,146329548,146331565,146329289,146330864,146332123,146330825,146334518,146332117,146331664,146330240,146329179,146330634,146330833,146331460,146331349,146330625,146330740,146331150,146331132,146330810,146332693,146330171,146333748,146331992,146330252,146330169,146329354,146332084,146330446,146330973,146331372,146331005,146331138,146331339,146330816,146329767"
44585,"146349572,146349065,146345942,146346507,146347847,146348938,146345850,146348110,146349352,146346400,146344930,146348499,146345086,146348723,146346336,146348521,146349089,146348500,146347697,146349152,146346480,146349259,146345370,146350433,146348688,146349578,146349791,146349486,146349430,146349799,146350205,146345924,146345522,146349992,146348564,146350105,146344528,146349099,146344609,146348254,146346757,146349551,146349315,146348455,146349417,146349209,146349645,146348987,146348176,146349365,146349492,146350222,146346113,146349930,146345410,146348129,146349733,146345585,146348505,146345012,146349169,146345758,146349021,146350238,146349358,146346827,146348803,146345663,146345366,146344539,146346347,146350407,146348741,146347174,146350186,146348086,146349685,146347724,146349998,146345119,146346997,146348053,146349103,146346017,146346902,146348563,146344763,146348366,146349236,146350118,146349234,146349821,146345387,146344910,146344909,146344565,146349503,146345645,146347917,146349508,146344902,146345550,146349797,146349965,146348868,146350084,146345507,146350214,146345813,146350442,146349658,146348391,146350332,146349740,146349025,146348447,146348839,146345919,146345137,146348102,146349179,146349635,146347934,146345907,146349929,146349463,146348290,146349968,146346539,146350126,146349696,146348081,146347682,146344798,146347985,146350202,146349296,146349867,146350302,146349896,146346207,146345156,146345897,146348578,146350076,146344750,146348964,146346455,146344907,146346101,146347521,146347017,146348158,146346633,146350114,146350441,146348978,146348029,146347246,146348472,146348954,146348308,146350377,146350180,146349829,146347634,146346159,146349232,146346353,146346055,146345651,146349687,146347538,146350379,146350315,146349108,146349026,146349403,146345846,146349713"
44590,"146365514,146362870,146362808,146362964,146366520,146363991,146364848,146360541,146364724,146364904,146363753,146365809,146366382,146362133,146364893,146363584,146364803,146360382,146360307,146364943,146362717,146366744,146363568,146360229,146362731,146364412,146363349,146360663,146364866,146363714,146367075,146363344,146364266,146361102,146366590,146366605,146366181,146360188,146364923,146360990,146365635,146363056,146362682,146366115,146362967,146363928,146365087,146361393,146362375,146362982,146366060,146365038,146360679,146361731,146362735,146361308,146365234,146361207,146365672,146361005,146363091,146360065,146360589,146364703,146366368,146365024,146360933,146364851,146363385,146366820,146360595,146363502,146361412,146365291,146361653,146361825,146362159,146363919,146363980,146366891,146363226,146360709,146363805,146362705,146364361,146366460,146363221,146362505,146361614,146360028,146362562,146363897,146360481,146366227,146362421,146364309,146362408,146360620,146360610,146366883,146363664,146363608,146365797,146366529,146361634,146363675,146366654,146363033,146366759,146366445,146366010,146365771,146360196,146364745,146361175,146365245,146365990,146361155,146365085,146365323,146362520,146367017"
44595,"146377299,146379026,146378598,146383378,146377534,146377787,146378425,146378627,146378322,146379020,146377298,146381028,146383386,146378129,146379335,146379655,146378705,146379478,146379844,146379697,146379072,146382783,146378906,146377835,146380467,146377918,146377927,146379739,146378756,146377994,146380341,146379712,146378695,146378840,146381207,146379496,146378010,146378221,146377358,146379926,146378166,146378861,146379246,146377420,146379485,146378319,146378646,146378356,146378181,146378813,146378969,146379290,146381801,146378702,146377565,146379358,146380154,146379328,146377922,146378348,146381425,146377582,146378780,146377312,146382499,146377235,146378415,146377606,146380764,146378264,146382023,146379510,146378274,146378818,146382125,146382055,146381064,146378487,146377418,146380850,146382325,146379534,146378374,146380321,146377636,146380384,146378673,146377461,146379552,146377397,146381835,146382567,146379877,146382102,146377334,146382891,146379324,146383269,146378836,146377344,146381153,146380290,146378645,146379233,146383387,146381068,146377625,146380217,146379342,146379239,146378772,146377456,146378724,146378008,146383118,146380793,146382657,146382331,146378723,146378461,146378901,146381637,146378739,146377693,146379592,146380170,146382436,146377562,146379250,146378497,146381901,146377454,146379023,146377748,146377803,146377302,146380723,146382669,146378427,146378635,146378011,146379329,146382969,146378562,146381621,146379056,146378333,146377695,146380397,146377865,146379068,146379317,146378754,146383173,146381075,146383049,146379166,146378331,146378389,146377854,146383144,146380870,146379614,146377645,146379851,146381501,146378777,146383175,146377818,146383040,146378057,146378499,146381304,146377921,146379182,146382662,146377301,146377487,146379093,146378491,146380639,146378784,146379648,146378875,146377904,146380269,146379586,146383527,146383233,146377314"
