cycle,pedigree_IDs
44550,"146246845,146246731,146249085,146245035,146246208,146247683,146245419,146246535,146248615,146245869,146245309,146250324,146250252,146244511,146249265,146246583,146245955,146247913,146245275,146248832,146245435,146244745,146246318,146246240,146245026,146246224,146246507,146247599,146245902,146249851,146246461,146249109,146245486,146244563,146245484,146245003,146249474,146245407,146250348,146248422,146245922,146244929,146248003,146246806,146249867,146245558,146244999,146244784,146245237,146244760,146244952,146248412,146250421,146244954,146249632,146248397,146244683,146246433,146246350,146245634,146246958,146247173,146246001,146247808,146246244,146245373,146246482,146246468,146246290,146246157,146245935,146245212,146249410,146248387,146244749,146244636,146246596,146244538,146245396,146248881,146246818,146249522,146245077,146250359,146249847,146246709,146246192,146244925,146245864,146248967,146245555,146245227,146246447,146246519,146245644,146246793,146245998,146247785,146245802,146246537,146245423,146247775,146248574,146245635,146246508,146246779,146246522,146248451,146244674,146245585,146244830,146249054,146245479,146250079,146245033,146246611,146247863,146245861,146249014,146245945,146249335,146245298,146246223,146245128,146245209,146248914,146245604,146246155,146248130,146248985,146245900,146246655,146244865,146247953,146245242,146245512,146245161,146244923,146250002,146246327,146249077,146245225,146246130,146248069,146245387,146249072,146244874,146244996,146247719,146245160,146246485,146246778,146245631,146245230,146246424,146245607,146245743,146247264,146245982,146244764,146247302,146246512,146244531,146246462,146245970,146245246,146244905,146244621,146245884,146249212,146250153,146249997,146246972,146248086,146246023,146250395,146249344,146245939,146249644,146245775,146246059,146244836"
44555,"146265777,146265456,146263334,146264411,146261351,146265164,146260103,146264821,146264833,146264044,146265362,146264571,146265528,146265500,146265677,146262874,146262536,146263749,146264334,146265351,146264018,146262290,146264248,146266120,146264947,146264670,146264441,146264176,146260895,146264020,146263972,146265927,146263813,146265146,146260171,146265007,146261211,146263827,146262399,146261148,146260067,146264354,146260047,146264264,146265078,146265953,146260063,146264034,146262268,146265094,146260556,146265686,146261584,146263873,146262659,146265303,146264311,146263292,146264364,146264030,146263721,146261040,146263527,146264077,146265640,146260946,146263627,146260461,146261788,146262168,146264292,146263805,146263080,146263944,146262644,146265280,146262736,146263933,146264724,146260900,146265566,146263687,146260497,146264872,146261182,146262415,146265687,146263948,146264063,146264070,146263703,146264073,146265618,146263335,146265064,146263716,146261406,146264150,146263936,146263840,146266113,146263908,146265642,146263697,146264322,146260868,146264733,146263463,146260912,146263656,146262834,146265872,146265850,146264720,146263890,146265238,146265663,146263809,146263959,146265503,146265529,146263852,146262875,146262820,146264559,146262406,146265903,146264329,146264975,146265506,146265008,146265774,146261996,146264409,146265811,146261463,146261275,146263719,146260149,146264043,146260526,146265487,146266059,146264410,146265167,146265439,146262275,146264688,146261308,146263658,146263816,146263825,146263116,146265293,146265818,146264510,146265467,146260645,146260049,146266011,146262962,146260377,146261745,146263923,146262529,146260375,146264374,146265666,146264897,146261158,146264898,146264078,146263115,146263915,146263744,146265179,146261901,146261525,146264548,146262414,146265536,146263070,146264843,146265342,146263914,146264437,146264407"
44560,"146278752,146276690,146280469,146279040,146279254,146277030,146282956,146279787,146277496,146276730,146276991,146279362,146278302,146281310,146279550,146276701,146277487,146280088,146278977,146278099,146281508,146282467,146281855,146282462,146281262,146282031,146279616,146280542,146276671,146280073,146280558,146281474,146282474,146277176,146276951,146277504,146282763,146283436,146281323,146276259,146277465,146277977,146276605,146276853,146278488,146280663,146276625,146279801,146282484,146278442,146281441,146281886,146281464,146281176,146278929,146277910,146278222,146277727,146277883,146281822,146277011,146280375,146283013,146278007,146278657,146280543,146276887,146282972,146283783,146278724,146278276,146276705,146279140,146280009,146277887,146276980,146279938,146277899,146278738,146276725,146277489,146276397,146279869,146276472,146280322,146281149,146278059,146283603,146281503,146279051,146281664,146282824,146279539,146282544,146279823,146281548,146277265,146276501,146280431,146276496,146283547,146283355,146280933,146278373,146277559,146279057,146279006,146279833,146276687,146283808,146279897,146280286,146278368,146279850,146279186,146280465,146279338,146280982,146277788,146276953,146277348,146283446,146280393,146276558,146278134,146276294"
44565,"146295642,146297216,146296765,146296814,146299907,146294382,146294218,146296239,146295408,146299484,146293870,146295671,146294832,146298556,146297306,146297590,146296185,146298714,146298991,146294084,146298674,146297189,146296276,146294119,146294901,146295928,146295053,146297098,146297582,146295156,146295497,146294704,146294931,146294301,146296091,146293943,146295378,146298416,146296500,146299900,146294625,146294130,146294774,146294490,146294714,146298262,146295586,146295163,146293881,146295849,146294645,146295645,146295559,146297378,146298855,146299091,146295630,146295510,146294695,146299046,146298547,146294674,146295916,146294187,146297349,146296253,146296920,146295370,146294568,146295880,146295898,146295151,146294560,146297230,146299705,146295093,146294973,146297619,146297472,146299190,146298901,146296257,146294680,146295475,146295636,146295171,146294963,146295126,146294701,146296559,146294758,146294173,146294873,146294902,146296073,146298740,146296095,146298004,146295939,146295973,146296358,146295829,146294267,146297891,146294643,146294272,146295767,146295799,146296241,146299690,146296193,146295435,146295583,146294756,146299979,146295380,146294548,146297620,146296693,146297477,146295912,146296187,146295780,146297880,146295215,146294018,146295638,146294861,146295379,146295982,146295122,146296245,146295375,146296837,146295480,146295271,146296051,146295967,146295800,146296407,146294131,146299304,146298239,146294926,146297881,146298695,146295983,146294798,146298564,146296499,146295936,146300059,146299611,146298909,146299577,146293896,146294180,146296173,146294246,146294293,146297929,146297013,146294376,146296075,146295930,146296678,146296191,146293953,146295860,146296006,146296287,146295150,146295414,146295757,146294329,146296171,146294578,146300073,146294114,146294311,146298121,146294693,146293971,146294588,146297556,146295418,146296957"
44570,"146314407,146312662,146314646,146315397,146314517,146313856,146312675,146313871,146314375,146313660,146313796,146314777,146311295,146310078,146314602,146315591,146312159,146315588,146315153,146314825,146313976,146313833,146315566,146311901,146312058,146314658,146312775,146315118,146315143,146314408,146315842,146314998,146310399,146315069,146314743,146314447,146312494,146313845,146315464,146314632,146315076,146314290,146315171,146310558,146313262,146314144,146311999,146314116,146311798,146314072,146315029,146314789,146312146,146315147,146310116,146315082,146315499,146313778,146310591,146314849,146310151,146315293,146312331,146314417,146315166,146312988,146314069,146315439,146310252,146313561,146310335,146314523,146311969,146315917,146314473,146314269,146313604,146310706,146315823,146314054,146315715,146314291,146313142,146313931,146314216,146315704,146313987,146313153,146314081,146315111,146310710,146312978,146312373,146312688,146314867,146312030,146314660,146311977,146311910,146313431,146315028,146313077,146313943,146311489,146315641,146314553,146313926,146314128,146315875,146311636,146314161,146314575,146315713,146312086,146313738,146314821,146315400,146315491,146315915,146314464,146312960,146310966,146315344,146310873,146315507,146311705,146310448,146314324,146315771,146312641,146313993,146315252,146313169,146315807,146310649,146315824,146315826,146315432,146311032,146310580,146310678,146314895,146314240,146313480,146313637,146313575,146314938,146315177,146314209,146315573,146314210,146315706,146313577,146312464,146310557,146314241,146311189,146313952,146314398,146315050,146315741,146313544,146313600,146313827,146315746,146315333,146314650,146312735,146314123,146313145,146315527,146310465,146315633,146313860,146315068,146315606,146315455,146314065,146311760,146310509,146315838,146314100,146314773"
44575,"146331906,146329043,146329045,146330902,146328611,146327917,146327688,146333252,146326334,146328119,146331354,146331345,146332237,146330259,146328668,146330516,146327003,146331317,146331310,146333082,146331789,146332136,146330357,146325895,146329921,146326866,146332275,146333020,146327437,146329378,146329355,146328127,146328278,146327376,146329092,146326903,146332292,146328521,146327191,146328508,146330481,146332848,146333186,146326318,146326503,146327858,146333290,146329014,146332118,146326098,146328497,146331753,146328963,146326585,146325925,146330644,146326118,146331489,146331132,146332125,146332231,146330652,146331951,146327647,146333287,146327504,146327873,146329208,146327771,146332198,146329034,146328703,146329019,146330032,146331916,146326768,146328673,146326622,146330316,146327649,146326187,146330334,146332551,146327993,146327442,146328322,146328981,146328405,146327962,146326138,146329543,146331256,146326754,146330179,146326748,146328359,146327275,146327844,146332514,146330227,146328549,146327549,146326624,146328912,146327221,146331588,146326674,146327187,146328754,146326707,146326210,146328892,146329861,146329576,146328671,146325786,146330002,146328848,146328812,146330411,146332034,146328575,146331629,146327333,146330118,146325932,146333198"
44580,"146345387,146345226,146347251,146346344,146343713,146348388,146347649,146345886,146349527,146348339,146344217,146345756,146346007,146347941,146344279,146348015,146348900,146347216,146348598,146346730,146345104,146349225,146345177,146345807,146347973,146349508,146345659,146345168,146343801,146346944,146347738,146344172,146349094,146345057,146345810,146345197,146345121,146345932,146344524,146345610,146345186,146349461,146345782,146345292,146345375,146345884,146344173,146344145,146345945,146346814,146347578,146344545,146344117,146345246,146347384,146347915,146346071,146346164,146344002,146345449,146345901,146344718,146344680,146344523,146345217,146345199,146344738,146345276,146348165,146343643,146345924,146343783,146349359,146344099,146345550,146347537,146345356,146346292,146345095,146344678,146349676,146347031,146344247,146349365,146349442,146345410,146348700,146344975,146345727,146347987,146345509,146345521,146345709,146345306,146344846,146345504,146345899,146345003,146347467,146347043,146346589,146349483,146347693,146344149,146343879,146343782,146348059,146343836,146347854,146345766,146343886,146343542,146345469,146344844,146345566,146345100,146347292,146345597,146344912,146345778,146347521,146345661,146348471,146345930,146345876,146344405,146346026,146344101,146344253,146344049,146345691,146345459,146343968,146345330,146345355,146348454,146346318,146346923,146345866,146345844,146345685,146349070,146345824,146344835,146343600,146345765,146346316,146344264,146344479,146347809,146346705,146345961,146346249,146345260,146345513,146344997,146345297,146344540,146344703,146346205,146345382,146348638,146345846,146346873,146343905,146344020,146345106,146349567,146348345,146344004,146344544,146344033,146347937,146347956,146345811,146349195,146343812,146345633,146345431,146343953,146345090,146344327,146345599,146343915,146344709"
44585,"146365032,146364932,146362755,146364759,146363895,146364128,146365736,146364473,146363247,146365028,146365246,146365627,146363869,146360574,146363906,146359889,146365017,146365244,146365781,146364791,146365407,146365508,146362394,146365587,146363548,146365676,146364842,146362190,146363285,146360734,146363722,146363605,146362472,146364578,146364835,146364099,146362197,146361360,146364439,146365209,146364964,146362711,146364574,146362629,146364257,146360932,146364464,146364148,146364069,146364215,146363521,146365320,146365461,146364105,146365641,146365278,146364175,146362237,146363170,146361785,146365742,146365190,146364281,146362340,146365439,146360103,146361297,146364019,146361100,146365405,146365895,146364659,146361247,146365334,146363649,146365431,146363553,146365223,146363189,146362622,146364216,146364813,146365294,146362511,146364087,146365021,146360678,146363551,146365073,146363653,146364424,146365089,146362210,146363725,146361511,146362645,146360717,146364206,146365506,146361165,146361188,146362390,146360359,146363882,146363306,146364613,146365586,146364454,146359734,146363386,146365085,146365199,146365568,146365052,146365825,146362523,146365796,146365022,146364122,146363870,146364077,146365708,146364444,146364073,146363874,146360974,146364991,146362842,146360839,146364979,146359815,146361140,146365279,146364443,146359781,146364917,146364572,146365829,146360871,146362084,146363789,146361084,146365388,146365298,146364804,146365700,146364163,146364526,146365595,146365232,146363614,146363723,146365308,146361746,146362436,146361773,146365268,146364065,146364716,146364947,146364683,146361448,146364318,146365163,146363941,146363930,146360822,146363152,146363921,146362881,146364823,146364285,146365098,146364643,146364920,146365293,146360449,146360385,146364688,146365626,146364903,146363297,146361122,146364559,146364404"
44590,"146378236,146379339,146377385,146380910,146382213,146380433,146376986,146376340,146382472,146379836,146381773,146382689,146382538,146376347,146381124,146380532,146382349,146376547,146377801,146380101,146376472,146376773,146382383,146379980,146377248,146378021,146379512,146382042,146376449,146377287,146377126,146376379,146377489,146379844,146380827,146381696,146376341,146379555,146379081,146379868,146377443,146378486,146382071,146379184,146382686,146377933,146378586,146379847,146379449,146377233,146378785,146378134,146380516,146379472,146376563,146380517,146378020,146380525,146377191,146382184,146381896,146378273,146378378,146380507,146379964,146382029,146377638,146382045,146378887,146376644,146381566,146380241,146378575,146376210,146381322,146382836,146381840,146376771,146376049,146379399,146381427,146379572,146377266,146378099,146382200,146376817,146382533,146378879,146380851,146378297,146381133,146381412,146382588,146380798,146380395,146381712,146381897,146377517,146377118,146375901,146380233,146378616,146381491,146378374,146381096,146376730,146379805,146376207,146378410,146378457,146377151,146379471,146381336,146379795,146379985,146379421,146380038,146378039,146379804,146378238,146377123,146376229"
44595,"146394882,146394776,146392770,146395078,146393012,146397717,146394239,146398394,146393516,146394928,146396515,146397552,146395316,146396556,146396548,146393214,146395141,146392956,146398447,146394321,146394753,146394846,146393821,146393362,146394304,146393339,146397635,146394927,146393875,146394665,146395384,146397212,146393909,146392957,146392768,146393714,146395474,146395184,146395041,146392860,146395185,146394602,146394618,146398439,146393985,146398502,146398560,146394413,146393459,146393902,146395172,146394030,146395170,146392790,146393779,146394751,146395069,146393013,146398359,146396511,146397157,146394233,146394388,146398687,146395183,146395102,146395096,146398438,146392986,146392873,146393689,146393398,146395160,146396952,146394867,146393511,146393905,146393186,146394821,146397787,146393270,146394609,146394701,146397472,146394561,146393941,146393802,146396599,146398454,146395114,146397131,146396813,146392948,146393709,146398030,146398229,146393525,146396841,146397453,146397418,146396697,146393854,146396843,146398117,146396816,146395168,146398136,146394532,146394591,146393377,146396277,146392970,146395409,146394887,146393227,146393784,146398520,146394660,146398369,146394991,146395420,146394711,146393806,146395075,146396557,146394829,146392906,146394399,146393145,146394249,146393310,146394996,146393632,146395067,146393105,146396079,146397075,146393517,146393158,146393938,146394043,146393252,146393637,146396350,146394059,146393033,146395092,146395139,146393374,146394357,146396776,146395073,146396081,146397492,146395485,146396073,146398227,146396481,146393248,146395289,146394432,146396397,146398000,146393054,146394575,146393296,146395357,146397406,146394039,146393731,146398311,146393737,146396283,146394875,146393857,146397966,146392888,146398839,146393084,146395478,146396150,146395058,146397117,146394421,146393332,146395349,146392807"
